,word,counts,indicatesDisease
208,bronchial,393,False
209,remaining,296,False
210,bilateral,455,False
211,large,328,False
212,bile,309,False
213,staining,316,False
214,applicable,264,False
215,metastasis,421,False
216,consistent,274,False
217,apex,285,False
218,remainder,291,False
219,high,412,False
220,seminal,380,False
221,without,265,False
222,squamous,509,False
223,vein,288,False
224,lobulated,244,False
225,involvement,419,False
226,endometrial,338,False
227,iii,237,False
228,common,368,False
229,case,425,False
230,fatty,282,False
231,extends,266,False
232,closest,251,False
233,four,355,False
234,aspect,238,False
235,piece,231,False
236,colon,327,False
237,tests,228,False
238,vascular,384,False
239,iliac,349,False
240,addendum,451,False
241,cystic,254,True
242,consultation,450,False
243,mid,234,False
244,fibrous,262,False
245,serosa,257,False
246,well,261,False
247,absent,342,False
248,myometrium,261,False
249,axillary,365,False
250,information,385,False
251,neoplasm,248,False
252,pleural,277,False
253,entire,266,False
254,fda,202,False
255,solid,262,True
256,ln,207,False
257,nephrectomy,241,False
258,sectioning,391,False
259,glistening,202,False
260,dissection,394,False
261,medical,236,False
262,features,261,False
263,brain,509,False
264,including,224,False
265,ii,204,False
266,less,231,False
267,reviewed,277,False
268,hilar,229,False
269,regional,442,False
270,procedure,422,False
271,evaluation,212,False
272,material,341,False
273,f,198,False
274,egfr,191,False
275,hemorrhagic,192,False
276,score,444,False
277,pancreas,239,False
278,endometrium,273,False
279,test,235,False
280,ajcc,184,False
281,dimensions,224,False
282,intraoperative,431,False
283,performance,183,False
284,changes,300,False
285,pno,201,False
286,candidates,182,False
287,used,181,False
288,red,194,False
289,pathologist,308,False
290,taken,204,False
291,serosal,226,False
292,omentum,347,False
293,stitch,212,False
294,ovaries,262,False
295,cyst,206,False
296,long,186,False
297,clear,216,False
298,frontal,272,False
299,grams,199,False
300,suture,196,False
301,cavity,199,False
302,brown,177,False
303,fs,214,False
304,nodular,216,False
305,proliferation,196,False
306,tnm,172,False
307,gallbladder,289,False
308,may,179,False
309,side,203,False
310,pole,183,False
311,characteristics,190,False
312,synoptic,262,False
313,partial,261,False
314,pink,170,False
315,candidate,174,False
316,nuclei,185,False
317,sect,170,False
318,aa,171,False
319,fish,170,False
320,laboratory,316,False
321,approved,240,False
322,intact,249,False
323,pcs,165,False
324,following,190,False
325,reported,193,False
326,record,197,False
327,per,200,False
328,nuclear,403,False
329,moderately,338,False
330,artery,177,False
331,primary,397,False
332,pieces,168,False
333,tubes,241,False
334,foci,205,False
335,iv,163,False
336,code,250,False
337,studies,274,False
338,invades,210,False
339,end,240,False
340,routine,185,False
341,noted,181,False
342,fibrofatty,171,False
343,time,298,False
344,inner,204,False
345,control,178,False
346,developed,157,False
347,stomach,233,False
348,cleared,155,False
349,figo,157,False
350,diagnostic,168,False
351,poorly,344,False
352,component,225,False
353,based,237,False
354,slides,252,False
355,drug,152,False
356,stains,198,False
357,central,198,False
358,specimens,363,False
359,vesicle,185,False
360,food,150,False
361,serous,304,False
362,nipple,217,True
363,permanent,245,False
364,prostatic,247,False
365,neoplastic,153,False
366,situ,267,False
367,blocks,180,False
368,involving,208,False
369,chronic,251,False
370,green,161,False
371,perineural,298,False
372,personally,144,False
373,lobular,229,True
374,surfaces,144,False
375,staging,298,False
376,n,155,False
377,page,184,False
378,hemorrhage,150,False
379,perpendicular,159,False
380,focus,188,False
381,embedded,150,False
382,given,158,False
383,tissues,155,False
384,immunohistochemical,238,False
385,containing,151,False
386,dna,137,False
387,region,149,False
388,temporal,225,False
389,pattern,202,False
390,administration,135,False
391,overlying,141,False
392,associated,202,False
393,gray,136,False
394,source,189,False
395,pt,146,False
396,extending,168,False
397,hyperplasia,204,False
398,surrounding,144,False
399,pmx,165,False
400,maximum,227,False
401,labelled,136,False
402,j,132,False
403,dcis,132,False
404,bowel,157,False
405,line,142,False
406,testing,175,False
407,ductal,300,True
408,five,216,False
409,lumen,134,False
410,change,167,False
411,gram,129,False
412,fibrosis,151,False
413,mucosal,149,False
414,fixed,130,False
415,junction,139,False
416,g,201,False
417,stain,196,False
418,isthmus,155,False
419,whole,125,False
420,location,220,False
421,extensive,213,False
422,moderate,163,False
423,sinus,142,False
424,previously,132,False
425,weighing,123,False
426,vesicles,193,False
427,vas,138,False
428,rubbery,123,False
429,half,134,False
430,greater,154,False
431,masses,125,False
432,distance,186,False
433,partially,143,False
434,muscle,168,False
435,hepatic,172,False
436,gleason,235,False
437,cervical,199,False
438,distant,196,False
439,axilla,203,False
440,hysterectomy,222,False
441,space,168,False
442,extent,266,False
443,stapled,127,False
444,bronchus,124,False
445,oriented,129,False
446,vessel,211,False
447,l,121,False
448,overall,144,False
449,obturator,180,False
450,reactive,150,False
451,found,130,False
452,along,124,False
453,anthracotic,138,False
454,dissected,123,False
455,approval,116,False
456,sample,172,False
457,subsequently,116,False
458,en,122,False
459,deferens,127,False
460,necessary,115,False
461,yes,126,False
462,ovarian,146,False
463,pn,120,False
464,assessed,117,False
465,research,138,False
466,note,280,False
467,appearance,125,False
468,duodenum,139,False
469,status,233,False
470,involves,186,False
471,middle,125,False
472,friable,112,False
473,involve,122,False
474,significant,133,False
475,demonstrates,118,False
476,comments,157,False
477,inflammation,156,False
478,away,126,False
479,main,116,False
480,mastectomy,229,False
481,portions,146,False
482,clearance,112,False
483,gastric,132,False
484,corpus,115,False
485,available,113,False
486,interpreted,125,False
487,neoplasia,172,False
488,placed,109,False
489,mitotic,241,False
490,gene,138,False
491,endocervical,130,False
492,canal,109,False
493,radical,266,False
494,full,130,False
495,slightly,110,False
496,vessels,113,False
497,appear,106,False
498,parts,155,False
499,fundus,113,False
500,wedge,139,False
501,provided,114,False
502,staple,110,False
503,myometrial,161,False
504,parenchymal,163,False
505,depth,162,False
506,opened,106,False
507,mesenteric,113,False
508,pm,116,False
509,face,102,False
510,purposes,102,False
511,laterality,167,False
512,analysis,136,False
513,ap,100,False
514,polyp,114,False
515,lymphovascular,236,False
516,unoriented,99,False
517,review,146,False
518,tongue,156,False
519,marked,121,False
520,ptnm,106,False
521,measure,101,False
522,larger,106,False
523,id,98,False
524,predominantly,106,False
525,separate,117,False
526,ink,181,False
527,angiolymphatic,156,False
528,remnant,99,False
529,perinephric,110,False
530,relation,101,False
531,specific,126,False
532,second,131,False
533,infiltrating,189,False
534,blood,143,False
535,data,198,False
536,cysts,105,False
537,use,100,False
538,mx,119,False
539,lymphatic,209,False
540,rendered,100,False
541,differentiation,118,False
542,adhesions,105,False
543,pale,90,False
544,micro,92,False
545,true,116,False
546,metastases,160,False
547,appendix,145,False
548,lobectomy,165,False
549,circumscribed,89,False
550,rt,139,False
551,initials,89,False
552,using,92,False
553,er,89,False
554,composed,89,False
555,please,112,False
556,amount,88,False
557,orange,95,False
558,variant,97,False
559,clia,86,False
560,several,114,False
561,index,124,False
562,prominent,100,False
563,identification,88,False
564,disease,121,True
565,cortex,88,False
566,tumors,152,False
567,apparent,89,False
568,patent,85,False
569,paraffin,93,False
570,glioma,113,False
571,infiltration,100,False
572,polypoid,87,False
573,discrete,90,False
574,mediastinal,115,False
575,receptor,139,False
576,paratracheal,139,False
577,r,106,False
578,cortical,96,False
579,chromosome,106,False
580,slide,182,False
581,es,87,False
582,containers,83,False
583,endomyometrium,95,False
584,circumference,86,False
585,demonstrate,83,False
586,result,130,False
587,thyroidectomy,123,False
588,gm,82,False
589,mild,140,False
590,limited,95,False
591,interpretation,183,False
592,treatment,154,False
593,fsc,104,False
594,six,148,False
595,evaluated,91,False
596,short,95,False
597,venous,107,False
598,ml,89,False
599,adnexa,135,False
600,pr,81,False
601,ratio,113,False
602,covered,81,False
603,diffuse,100,False
604,endometrioid,135,False
605,underlying,93,False
606,include,86,False
607,first,105,False
608,mgmt,79,False
609,confined,124,False
610,prior,118,False
611,nottingham,126,False
612,si,81,False
613,however,141,False
614,nos,89,True
615,muscularis,100,False
616,duodenal,87,False
617,bone,121,False
618,procurement,119,False
619,propria,93,False
620,path,98,False
621,collected,98,False
622,ulcerated,108,False
623,range,89,False
624,growth,97,False
625,ihc,76,False
626,serial,111,False
627,sized,77,False
628,esophagus,114,False
629,vaginal,114,False
630,cellular,87,False
631,assay,101,False
632,qualified,75,False
633,perform,78,False
634,special,164,False
635,pelvis,75,False
636,removed,76,False
637,run,84,False
638,revealing,75,False
639,holds,75,False
640,superficial,103,False
641,follicular,101,False
642,lymphoid,89,False
643,width,79,False
644,immunohistochemistry,184,False
645,smaller,85,False
646,edge,81,False
647,sex,103,False
648,afs,74,False
649,dysplasia,137,False
650,required,75,False
651,weighs,73,False
652,hours,74,False
653,fixation,82,False
654,figures,73,False
655,operative,178,False
656,glioblastoma,169,False
657,peribronchial,96,False
658,amendments,78,False
659,shaped,73,False
660,multiforme,97,False
661,least,85,False
662,ellipse,78,False
663,fascia,80,False
664,epithelial,130,False
665,portal,104,False
666,nerve,91,False
667,glands,86,False
668,light,103,False
669,abnormality,91,False
670,third,74,False
671,totally,88,False
672,curvature,72,False
673,ureteral,86,False
674,matter,77,False
675,detected,79,False
676,markers,94,False
677,regarded,70,False
678,improvement,71,False
679,internal,86,False
680,abuts,72,False
681,showing,77,False
682,visceral,125,False
683,radial,89,False
684,pathological,145,False
685,et,69,False
686,suspicious,79,False
687,formation,91,False
688,cuff,74,False
689,certified,68,False
690,low,119,False
691,urethral,91,False
692,zone,72,False
693,adherent,71,False
694,extend,70,False
695,ampulla,78,False
696,consisting,67,False
697,pending,103,False
698,entirety,66,False
699,contents,131,False
700,cord,76,False
701,extracapsular,115,False
702,u,91,False
703,fimbriated,71,False
704,architecture,72,False
705,periaortic,107,False
706,head,97,False
707,necrotic,66,False
708,tubular,91,False
709,signature,89,False
710,parathyroid,135,False
711,upon,142,False
712,personal,75,False
713,recut,75,False
714,reaction,76,False
715,activity,88,False
716,otherwise,74,False
717,background,111,False
718,classification,104,False
719,macroscopic,125,False
720,lab,83,False
721,capsular,127,False
722,answered,63,False
723,atypia,98,False
724,pleomorphism,82,False
725,conducted,66,False
726,gerota,69,False
727,scattered,81,False
728,levels,102,False
729,rib,100,False
730,cross,85,False
731,thick,68,False
732,encapsulated,62,False
733,k,63,False
734,complete,106,False
735,tps,60,False
736,marks,73,False
737,reagents,60,False
738,os,63,False
739,resident,70,False
740,forming,60,False
741,peripheral,77,False
742,previous,138,False
743,respectively,63,False
744,atypical,94,False
745,trisected,68,False
746,microvascular,65,False
747,defined,60,False
748,investigational,63,False
749,clip,67,False
750,synopsis,62,False
751,made,59,False
752,ectocervix,62,False
753,unifocal,74,False
754,considered,61,False
755,decalcification,64,False
756,random,74,False
757,apical,92,False
758,near,64,False
759,snomed,58,False
760,probe,87,False
761,infiltrates,60,False
762,astrocytoma,91,False
763,diffusely,60,False
764,confirmed,59,False
765,md,57,False
766,structures,69,False
767,expression,67,False
768,parametrial,70,False
769,anaplastic,111,False
770,glial,59,False
771,therapy,77,False
772,amplification,85,False
773,described,57,False
774,invade,57,False
775,strong,65,False
776,system,61,False
777,stained,63,False
778,average,70,False
779,filled,55,False
780,mixed,89,True
781,endocervix,64,False
782,nearest,69,False
783,checklist,69,False
784,count,79,False
785,hilum,57,False
786,fleshy,55,False
787,nci,55,False
788,cellularity,57,False
789,dark,57,False
790,seven,93,False
791,comes,59,False
792,details,79,False
793,cornu,55,False
794,presence,80,False
795,printed,73,False
796,weight,103,False
797,histopathological,57,False
798,shaved,56,False
799,minimal,67,False
800,completed,65,False
801,p,71,False
802,mitoses,67,False
803,controls,58,False
804,physician,68,False
805,dr,68,False
806,complexity,53,False
807,residual,79,False
808,preparation,61,False
809,potential,56,False
810,indurated,55,False
811,similar,74,False
812,lesser,61,False
813,surgeon,60,False
814,provider,54,False
815,cytoplasm,54,False
816,urothelial,132,False
817,whipple,61,False
818,oligodendroglioma,75,False
819,pcr,52,False
820,department,56,False
821,touch,93,False
822,slices,55,False
823,peritoneum,97,False
824,thin,57,False
825,granular,54,False
826,malignant,121,True
827,edition,103,False
828,esophageal,73,False
829,body,76,False
830,tail,59,False
831,urethra,69,False
832,pulmonary,66,False
833,peripancreatic,100,False
834,mutation,67,False
835,patients,71,False
836,subject,54,False
837,multifocal,138,False
838,replaced,55,False
839,close,62,False
840,membrane,58,False
841,codes,79,False
842,round,57,False
843,fuhrman,72,False
844,sac,70,False
845,issued,52,False
846,surrounded,55,False
847,invading,70,False
848,lt,76,False
849,hepatocellular,113,False
850,al,64,False
851,frag,49,False
852,loss,88,False
853,fsa,49,False
854,fluid,51,False
855,mutations,68,False
856,classical,97,False
857,intramural,56,False
858,cauterized,51,False
859,includes,50,False
860,segments,53,False
861,receptors,92,False
862,verified,66,False
863,certify,48,False
864,il,55,False
865,intensity,81,False
866,collection,59,False
867,reports,55,False
868,throughout,52,False
869,peritoneal,79,False
870,presumed,51,False
871,pin,47,False
872,skeletal,78,False
873,key,69,False
874,scar,67,False
875,centrally,49,False
876,kras,46,False
877,prostatectomy,82,False
878,separately,57,False
879,ca,70,False
880,attending,92,False
881,dense,52,False
882,accession,71,False
883,gender,46,False
884,protein,59,False
885,dilated,47,False
886,obtained,67,False
887,service,46,False
888,stroma,59,False
889,extranodal,115,False
890,ovoid,49,False
891,polyps,51,False
892,probable,47,False
893,resubmitted,45,False
894,focality,121,False
895,female,86,False
896,tip,52,False
897,regarding,47,False
898,numerous,72,False
899,painted,46,False
900,abdominal,97,False
901,mouth,57,False
902,signals,46,False
903,diagnoses,70,False
904,calcified,48,False
905,hpf,46,False
906,order,59,False
907,unfixed,44,False
908,indicated,47,False
909,melanoma,65,False
910,ulceration,56,False
911,structure,44,False
912,markedly,44,False
913,beyond,46,False
914,old,43,False
915,stromal,64,False
916,homogeneous,44,False
917,variegated,43,False
918,resected,51,False
919,estrogen,118,False
920,pigment,58,False
921,protocol,86,False
922,cytokeratin,74,False
923,retroperitoneal,80,False
924,hybridization,57,False
925,definite,49,False
926,exophytic,57,False
927,parietal,81,False
928,male,67,False
929,pten,42,False
930,metaplasia,67,False
931,leiomyoma,58,False
932,lns,45,False
933,glandular,65,False
934,histology,92,False
935,floor,59,False
936,strongly,47,False
937,detection,50,False
938,methylated,45,False
939,shown,44,False
940,ancillary,71,False
941,omental,62,False
942,appearing,43,False
943,spec,58,False
944,sampled,49,False
945,consult,80,False
946,mesentery,50,False
947,requested,51,False
948,mucinous,54,True
949,double,52,False
950,sigmoid,82,False
951,encounter,41,False
952,obvious,41,False
953,uncinate,69,False
954,salivary,56,False
955,appropriate,49,False
956,asr,40,False
957,rare,58,False
958,somewhat,41,False
959,spleen,65,False
960,station,93,False
961,consist,41,False
962,around,42,False
963,relationship,46,False
964,pnx,56,False
965,facility,41,False
966,extracted,40,False
967,procedures,59,False
968,fibrotic,42,False
969,irregularly,39,False
970,appropriately,44,False
971,analyzed,41,False
972,partly,40,False
973,deepest,42,False
974,carcinomatosae,39,False
975,positivity,42,False
976,progesterone,107,False
977,assessment,53,False
978,follow,43,False
979,dome,41,False
980,spongy,39,False
981,buccal,77,False
982,lymphocytic,55,False
983,prep,42,False
984,implant,58,False
985,bivalved,38,False
986,majority,40,False
987,whorled,39,False
988,core,63,False
989,abnormalities,48,False
990,ileum,52,False
991,subserosal,49,False
992,dye,40,False
993,inquiry,49,False
994,enlarged,56,False
995,microscopy,72,False
996,palpation,41,False
997,admixed,49,False
998,continued,58,False
999,ranges,41,False
1000,lining,38,False
1001,clock,52,False
1002,addition,39,False
1003,xx,50,False
1004,age,48,False
1005,cases,37,False
1006,v,41,False
1007,identifiable,37,False
1008,types,62,False
1009,lymphonodis,37,False
1010,pleomorphic,48,False
1011,pas,37,False
1012,perirenal,56,False
1013,simple,78,False
1014,print,38,False
1015,nucleoli,39,False
1016,abundant,41,False
1017,fragmented,45,False
1018,pinpoint,37,False
1019,dx,47,False
1020,infiltrated,44,False
1021,dominant,64,False
1022,optic,43,False
1023,established,49,False
1024,bank,51,False
1025,needle,66,False
1026,anatomic,44,False
1027,response,49,False
1028,intraepithelial,71,False
1029,oophorectomy,42,False
1030,atrophic,55,False
1031,sent,41,False
1032,opposite,37,False
1033,fibrocystic,64,False
1034,microcalcifications,50,False
1035,designation,42,False
1036,modified,82,False
1037,orifice,37,False
1038,adrenalectomy,40,False
1039,promoter,48,False
1040,chest,62,False
1041,intestinal,43,False
1042,analyte,42,False
1043,copy,76,False
1044,jar,36,False
1045,abutting,36,False
1046,us,40,False
1047,distorted,37,False
1048,endothelial,37,False
1049,specify,71,False
1050,entered,40,False
1051,aortic,55,False
1052,cholecystitis,40,False
1053,em,39,False
1054,donut,57,False
1055,frags,35,False
1056,labeling,46,False
1057,called,44,False
1058,shaggy,34,False
1059,satellite,59,False
1060,usual,41,False
1061,implants,55,False
1062,completely,47,False
1063,hemicolectomy,42,False
1064,histiocytosis,35,False
1065,integrity,54,False
1066,signed,51,False
1067,possibly,36,False
1068,stump,34,False
1069,flap,43,False
1070,rs,40,False
1071,color,39,False
1072,ligament,43,False
1073,hepatectomy,42,False
1074,selected,37,False
1075,new,73,False
1076,molecular,75,False
1077,indicating,33,False
1078,gastrectomy,48,False
1079,acinar,57,False
1080,represent,37,False
1081,palpable,52,False
1082,request,46,False
1083,sarcoma,43,False
1084,although,54,False
1085,quadrants,40,False
1086,removal,41,False
1087,antibodies,35,False
1088,increased,41,False
1089,intermediate,45,False
1090,slab,33,False
1091,grossed,33,False
1092,point,34,False
1093,averages,33,False
1094,intraductal,60,False
1095,mandible,67,False
1096,context,32,False
1097,photograph,35,False
1098,direct,63,False
1099,distinct,36,False
1100,lobes,67,False
1101,volume,66,False
1102,midline,33,False
1103,digital,33,False
1104,eight,57,False
1105,percentage,51,False
1106,organ,52,False
1107,rectum,44,False
1108,towards,36,False
1109,paratubal,53,False
1110,correlation,44,False
1111,pa,33,False
1112,procured,34,False
1113,discoloration,35,False
1114,contain,32,False
1115,membranous,37,False
1116,shave,49,False
1117,gfap,32,False
1118,extrathyroidal,44,False
1119,oral,50,False
1120,spermatic,39,False
1121,vena,42,False
1122,outside,54,False
1123,pertain,31,False
1124,file,39,False
1125,relevant,37,False
1126,effect,72,False
1127,antibody,45,False
1128,calcification,57,False
1129,copies,51,False
1130,relatively,32,False
1131,extensively,39,False
1132,cap,32,False
1133,center,35,False
1134,trigone,35,False
1135,q,33,False
1136,buffered,32,False
1137,pericolonic,37,False
1138,sarcomatoid,45,False
1139,showed,30,False
1140,remains,30,False
1141,original,53,False
1142,classified,30,False
1143,ia,37,False
1144,scant,36,False
1145,concurs,33,False
1146,percent,69,False
1147,undesignated,31,False
1148,mottled,31,False
1149,border,35,False
1150,suggestive,31,False
1151,attest,50,False
1152,cystoprostatectomy,37,False
1153,roughly,30,False
1154,cerebriform,30,False
1155,luminal,32,False
1156,adenoma,43,False
1157,lymphoma,39,False
1158,axis,30,False
1159,sma,30,False
1160,testis,35,False
1161,laryngectomy,43,False
1162,regulations,29,False
1163,congested,29,False
1164,amplified,38,False
1165,eleven,45,False
1166,psa,29,False
1167,lines,30,False
1168,arising,36,False
1169,spaces,31,False
1170,room,60,False
1171,weak,32,False
1172,many,37,False
1173,mostly,31,False
1174,another,35,False
1175,excisional,54,False
1176,oval,29,False
1177,histological,49,False
1178,maximal,43,False
1179,year,42,False
1180,disrupted,31,False
1181,study,43,False
1182,cytomorphology,31,False
1183,hepatitis,40,False
1184,except,29,False
1185,fsb,28,False
1186,observed,30,False
1187,manufacturer,29,False
1188,nx,37,False
1189,widely,31,False
1190,multinodular,36,False
1191,evident,31,False
1192,conventional,68,False
1193,borders,28,False
1194,confirm,29,False
1195,bln,30,False
1196,sutures,30,False
1197,astrocytic,29,False
1198,patchy,35,False
1199,areola,29,False
1200,nine,46,False
1201,properly,28,False
1202,invasivum,28,False
1203,document,32,False
1204,minimum,36,False
1205,perivesical,49,False
1206,power,28,False
1207,local,51,False
1208,cava,32,False
1209,eosinophilic,34,False
1210,together,31,False
1211,cartilage,43,False
1212,submandibular,46,False
1213,caval,30,False
1214,disclosure,34,False
1215,according,32,False
1216,samples,40,False
1217,signing,40,False
1218,staff,40,False
1219,fungating,29,False
1220,value,28,False
1221,lymphadenectomy,41,False
1222,open,29,False
1223,approaches,31,False
1224,cpt,28,False
1225,infiltrate,30,False
1226,aggregating,27,False
1227,immunoperoxidase,48,False
1228,fields,27,False
1229,nests,28,False
1230,ragged,28,False
1231,remarkable,27,False
1232,lymphocytes,30,False
1233,immunostain,39,False
1234,subcarinal,52,False
1235,gutter,39,False
1236,characterized,27,False
1237,celiac,40,False
1238,displays,27,False
1239,listed,27,False
1240,dictated,48,False
1241,arm,27,False
1242,corresponding,28,False
1243,finding,29,False
1244,colonic,38,False
1245,edematous,27,False
1246,stated,27,False
1247,sln,26,False
1248,lcis,26,False
1249,rate,37,False
1250,kinase,32,False
1251,acute,32,False
1252,epithelium,29,False
1253,cholecystectomy,40,False
1254,extraprostatic,72,False
1255,image,50,False
1256,tubule,46,False
1257,thrombus,34,False
1258,infiltratio,26,False
1259,carcinomatosa,26,False
1260,descriptors,29,False
1261,infiltrative,45,False
1262,segmental,53,False
1263,recommended,28,False
1264,specifically,27,False
1265,fixative,31,False
1266,active,30,False
1267,operation,36,False
1268,roughened,28,False
1269,components,29,False
1270,origin,29,False
1271,defect,27,False
1272,gritty,26,False
1273,opening,40,False
1274,subcutaneous,35,False
1275,represents,26,False
1276,representatively,41,False
1277,literature,25,False
1278,known,27,False
1279,signal,25,False
1280,survival,34,False
1281,iattest,25,False
1282,perigastric,31,False
1283,client,26,False
1284,height,30,False
1285,biopsies,40,False
1286,intestine,30,False
1287,rest,36,False
1288,lined,26,False
1289,parametrium,38,False
1290,patterns,34,False
1291,operating,38,False
1292,regions,30,False
1293,ib,25,False
1294,pneumonia,28,False
1295,compatible,25,False
1296,sided,25,False
1297,bfs,25,False
1298,thickened,26,False
1299,velvety,26,False
1300,tunica,32,False
1301,preoperative,34,False
1302,carcinomas,31,False
1303,different,26,False
1304,ish,27,False
1305,allred,25,False
1306,micropapillary,40,False
1307,epididymis,27,False
1308,proliferative,41,False
1309,deletion,25,False
1310,criteria,31,False
1311,therefore,42,False
1312,laparoscopic,43,False
1313,investigations,24,False
1314,puckered,25,False
1315,linear,26,False
1316,fourth,29,False
1317,lobar,31,False
1318,staples,26,False
1319,template,49,False
1320,atrophy,35,False
1321,inflammatory,34,False
1322,pigmented,26,False
1323,support,27,False
1324,hernia,42,False
1325,chromogranin,31,False
1326,form,45,False
1327,demonstrated,24,False
1328,surgery,48,False
1329,mucoid,24,False
1330,groove,24,False
1331,anat,24,False
1332,strictly,24,False
1333,days,39,False
1334,state,54,False
1335,hypercellular,28,False
1336,uses,23,False
1337,pneumonectomy,31,False
1338,connective,25,False
1339,forms,23,False
1340,sbr,23,False
1341,position,26,False
1342,centromere,35,False
1343,measured,33,False
1344,multicentricity,33,False
1345,submucosal,32,False
1346,ten,57,False
1347,clot,23,False
1348,saline,28,False
1349,oper,23,False
1350,approach,23,False
1351,keeping,23,False
1352,equal,23,False
1353,combined,34,False
1354,diaphragm,37,False
1355,difficult,25,False
1356,marker,30,False
1357,communicated,23,False
1358,federal,31,False
1359,composite,40,False
1360,preps,24,False
1361,pericardium,25,False
1362,ducts,30,False
1363,bodies,25,False
1364,unmethylated,22,False
1365,alone,22,False
1366,submucosa,27,False
1367,nodularity,23,False
1368,guidelines,22,False
1369,histopathologic,41,False
1370,omentectomy,38,False
1371,palpated,27,False
1372,sites,37,False
1373,likely,25,False
1374,muscular,30,False
1375,user,31,False
1376,circumferential,48,False
1377,current,27,False
1378,splenic,31,False
1379,expected,35,False
1380,immunostaining,29,False
1381,prognosis,22,False
1382,keratin,55,False
1383,cytoplasmic,24,False
1384,suggest,22,False
1385,perm,23,False
1386,interstitial,24,False
1387,ima,23,False
1388,bx,33,False
1389,synaptophysin,26,False
